Age,Gender,Comment
25-34,MALE,Serviceable tiny room We are Gold Preferred Guests and stayed in the hotel using points. So to preface everything when you get something for free you cant really complain TOO much about it. If I had paid $400/night for the room we stayed in it would have been completely unacceptable. The room was in the middle of the three wings of the now-combined resort and it was TINY. It did have a somewhat-ocean view out of a small side window but otherwise the room was dominated by the king-size bed. Beyond that there was barely room to walk around. Compared to other Hawaii properties i.e. the Hilton Hawaiian Village which cost less this room just did not cut it. However it was clean and had a good bed. We also chose this property primarily because a it was free and b it was easy to drive from there to good beaches in Oahu that arent Waikiki. That said otherwise this property was a solid Westin property. Staff were very courteous including superior service at valet parking which was our main concern. As I noted before I used to live on Oahu and fortunately I already knew that Waikiki is the worst beach on this island and as far as I know throughout Hawaii. Although it has all of the tourist hotels really if you want a great experience on Oahu use Waikiki as your home base and drive the 15-20min to other secluded beaches on the island. Since that was our plan we mostly used the hotel for breakfast where is a great buffet for $30 $18 if you only eat cold food/continental. We also relaxed sometimes on the veranda in the middle of the property where the pool and the excellent pool bar are. It is a beautiful area and one of the nicer layouts of the Waikiki properties. Compared to the Hilton the Westin was also thankfully bereft of kids which since we dont have kids it was our honeymoon was important to us. The property is in excellent condition overall and the fitness facility while a bit tough to find its on the 32nd floor of the Sheraton tower which is actually the 2nd floor though not marked that way and the signage is not great was up to par and had all-new equipment. In sum if I had a room with a balcony that was larger than a thimble I would definitely stay in the Westin again. I would also stay there for free regardless. But if I were paying their not-cheap rates I would have been angry at the size of our room but happy with everything else.
18-24,FEMALE,Best Place in the World This August will be my 5th time staying at the Royal Hawaiian Hotel. This is my favorite place to stay in Hawaii because it is so beautiful and unique from all the other hotels. All of the rooms are gorgeous- even coming from someone who had a non-ocean view room half of the time The hotel is just the right size- they have some cute boutiques beauty services and amazing restaurants. They offer shuttles to many of the nearby attractions and their service is always so efficient. I love the Royal Hawaiian and would never stay anywhere else on my vacations in Oahu
35-49,FEMALE,Loved the new hotel I travel to phoenix a couple of times a year to visit my ailing Mom. The last time we came the hotel was completely under construction and we left before even staying there. We returned this year and were pleasantly surprised to find how well the hotel turned out. They completely redid everything. There was even new furniture out by the pool which my kids enjoyed since it was much to cold to swim where we are from. The new expanded fitness center with all new equipment was a plus for my husband and I was happy just to have a quite breakfast in my room. Food was wonderful and the staff was very accommodating. We didnt have to worry about a thing the whole time we were there. You must give this hotel a chance...you will be thoroughly satisfied.
65-XX,FEMALE,Good hotel but not really a Seattle experience We live in the Seattle area and booked this hotel because of the wind damage and we were without power for more than a week. We stayed here for 3 of those nights in two different rooms. I guess I was surprised that this hotel was rated so high as most locals have not even heard of it. We only knew about it because our son does not live far from here.The hotel was totally booked during this time period because so many people were without power. The front desk people were overwhelmed because of all the calls etc. but they handled it very well. The rooms are good size the bathrooms are very nice. It is done rather modern style - but not cold. The restaurant downstairs does mainly appetizer type food but the soups/salads etc. are very tasty. They have wine tasting in the evening but it is not like the Kimpton Hotels - you get a voucher which allows you to have a small tasting of a red and a white wine. Would I stay here again? Yes if my power went out. But if I were a tourist coming here to Seattle for the first time? No. This hotel is a distance from downtown Seattle - 10 minutes by car when traffic is good. Is there anything else in the neighborhood? No. If you have a child or relative that is going to the University of Washington and you are here to see them and be involved in their activities - this is the perfect place for you. If you are here to experience what the vibe of Seattle is - pay an extra $50 if you can and stay downtown Seattle. It is so different. The restaurants within walking distance of downtown hotels are incredible. There are excellent restaurants in this same area as the Watertown Tilth but it is a cab ride. Also as one of the previous reviewers stated - if this hotel is full - it is noisy. We were about 5 doors from the elevator but I could hear it bling everytime the elevator hit our floor. Also the people above us must have had children that were busy - they hit the floor at 6AM and it sounded like floor hockey above us for the next 2 hours until they took them for breakfast. If you arent on one of the top floors looking south - you look at a busy street.This area is an interesting area of Seattle. We love it and have bought a condo in this area where we plan to eventually move. However it is an area of transition - it is not a typical area of Seattle. There is not much to do or see here - you are dependent on transportation to see the tourist sights. That is why I would recommend this hotel as a hotel but this is not what I would like you to think all of Seattle represents.
65-XX,MALE,Anniversary stay We live on Oahu but decided to spend our 19th wedding anniversary at the Waikiki Circle Hotel. We had stopped in a couple of times and were able to see a room each time we visited. The staff is the friendliest weve come across in a long time especially Naomi and Steve. We requested a high floor ocean front because the view cannot be beaten. Its true the rooms are small however there is a refrigerator and a large closet with a mirrored door. They are tastefully decorated bright and have been updated with 32 HDTV televisions. It was clean and didnt smell like other reviews had mentioned. The bathroom is also small but there is some exaggeration with regard to the size of the showers my wife and I managed to both fit quite well at the same time.
50-64,MALE,Great Hotel for the Heavy Sleeper Just a short weekend stay turned up early and although the room wasnt ready they stored our luggage for us and when we returned had moved us down a couple of floors not sure if it was an upgrade but it was a nice room very clean. Comfortable beds with four choices of pillow large bathroom. Staff were very polite and helpful. Would have scored excellent had it not been for the noise. Something I was aware of because of the proximity of nightclubs in Rembrant Square. Great location though in the heart of Amsterdam within 10-20 minutes walking distance of virtually all attractions. So if you are a heavy sleeper or just out partying all night then this is the perfect place for you.
65-XX,MALE,Six Stars if Possible View from our room
25-34,FEMALE,Great Vacation A cool thing about our buffet was that there was always food sculpture like this or carved melo
18-24,FEMALE,IBERO STAR BAVARO - GORGEOUS This was a surprise bday gift from Hubby...Although we only stayed for 5 days 4 nights I must say this was a fantastic getaway from baby furbaby :From the minute we landed to the day we left everything was simply perfect and smoothThe entire grounds were breathtakingly beautiful the staff was extremely friendly the entertainment was uplifting the food was plentiful delish and most importantly the weather was perfectHubby and I spent most of our days working on our tans and relaxing by the beach..Okay also the bar which was a swim-up.It was nice to see that it was very family friendly-but certainly not like Disneyland...The kids were well behaved and there was plenty of space to keep to themselves. It was our first time at an all inclusive vaca and I dont know if Ill ever do otherwise : This is definately one well be coming back to
50-64,MALE,one of the best ever my wife and i have stayed in some wonderful hotels the world overbut never have we stayed in a hotel with staff as good as those at Casa Camper.thank you so much for being so helpful and pleasent and especially for the little surprises left in our room on hearing of the surprise we got from our son when he told us on the roof terrace that we were to become grandparents it was truly very touching thank you so much to all concerned oh and the hotel itself is fantastic by the way great location and enjoyed the 24 drinks and snackssee you soon i hope
25-34,FEMALE,very far from the centre barcelona itself is absolutely fabulous. Me and my friend both 24 have just come back we had a great time with all the sights shopping and sangria. but the biggest downfall was how far away the hotel is we were always in taxis  of a day its fine to walk but as its on a back street we felt it unsafe to walk of a evening. would reccomend people to stay closer to the centre. x
25-34,FEMALE,DF dulce DF Great location We also loved the modern clean design of the hotel and the professional courteous and competent staff. The rooms were clean and large and I highly recommend the rooftop pool to cool down after a busy day in the city. My only complaints - the bed might be a little firm for some tastes the hotel has a definite business traveler vibe and you might have to ask for more towels.
35-49,FEMALE,this is our hotel when we come to ny to stay we always stay at the palace. the best for value service room size cleanliness and luxury. the best deals are on the weekend with included parking and breakfast. its location is central. the room views are great. we love the lobby and the villiard room bar. we stayed here with and without our kids. staying in sept. cant wait
35-49,FEMALE,Beautiful resort but... This resort has received many recent reviews so I dont want to repeat what has been already stated- Everything positive that is written about the hotel common areas beach and service is totally accurate. As you walk around the resort you truly feel like you are their most important guest in paradise. The staff goes above and beyond remembering small details about your preferences. With that said you should know:Getting there- We booked through Spirit Air Vacations and had no problems. Transfers to and from the hotel with VIP were friendly and on-time. Rooms- Pretty to look at but with hard beds and poor bedding. As stated in other reviews the resort has constant problems with AC. Our first room on the 3rd floor was sweltering. We asked to move after one night and ended up on the ground floor. Much better After speaking to other guests it appears that the lower floors are generally cooler. Activities / entertainment - If youre an active person theres a lot to do on the resort during the day. Most activities are arranged through the Scuba shop. Go early in the morning to arrange what youd like to do. We tried windsurfing sailing on a catamaran and snorkeling which are all free. If you want to take the banana boats you negotiate a price directly with the operators. The resort also has water aerobics and games throughout the day. If you prefer to relax there are plenty of chairs and excellent wait service around the pool under the palms and on the beach. Evening entertainment was decent too. The casino was small but fun as was the club. Both dont get going until around midnight. We didnt attend any of the shows.Riu properties- As a guest of the Palace Macao youll have a wristband that allows you to enjoy the other 4 Riu properties with the exception of the other Palace. We enjoyed visiting adjacent properties two of which had swim-up bars. Those hotels appeared to have a more party atmosphere. Still it was nice to return to the elegance of the Macao.Beach - Beautiful clear water and soft sand. Great for swimming. Reefs just offshore with a variety of marine life. While snorkeling was saw rays barracuda flounder and numerous colorful reef fish. Bring a mug or tumbler with a lid so that you can keep your drinks cool and sand-free while at the beach. The waiters are happy to refill them for you. Food- Not for me. I hesitate to be too critical since everyone else in my party was able to find at least a few things to enjoy each meal but it just didnt suit my palate. Most items were in heavy sauces or dressings. I was surprised at the lack of fresh vegetables and fish choices. The a la carte restaurants with the exception of the Japanese restaurant were a disappointment. I thought that by going with the a la carte the food would be cooked-to-order. However most items appeared and tasted like they had been sitting for quite some time. The Japanese restaurant was pretty good. Drinks- Unlimited including a regularly re-stocked minibar in your room. Pepsi products. Mixed drinks - most drinks are fruity and very sweet. Wine selection was not good. Presidente beer is tasty but not stocked in your room.Liquor is generally bottom-shelf but you can get better brands if you request it. You must pay for drinks in the night club but theyre not expensive. Misc- We tipped throughout our stay mainly because the service was so wonderful. Also most of the staff speak very limited if any English so brush up on your Spanish. Even learning a few phrases with help you communicate and get to know your hosts better. One last thing-I strongly suggest you read the forums at this site to get more helpful tips. I dont think our vacation would have gone as well without the valuable info we got from the forums.
50-64,MALE,Fantastic stay at the Monaco The Seattle Hotel Monaco holds up the high standards of the Kimpton hotel line. Having stayed at Kimpton hotels in several other cities I can easily say that the Seattle Hotel Monaco is one of the best I have seen. The service is attentive and very prompt. Based on being a member of the Kimpton loyalty program I was upgraded to a 10th floor room with a great view of 4th street and the excellent public library kitty-corner across from the hotel. I highly recommend a tour of the public library; you will be blown away. My room is quite spacious with a beautiful flat-screen television with DVD/CD player. The exercise room is pretty standard Kimpton size which means adequate but not outstanding: four eliptical cardio machines and two stationary bikes each with personal viewing screens. The cardio machine screens accept DVDs which I have not seen elsewhere. As with all Kimpton hotels and the Hotel Monaco line in particular the hotels lobby is stylish quirky and inviting. Its easy to imagine spending time relaxing in the comfortable over-stuffed chairs. The restaurant attached to the hotel Sazerac is very good. So far I have eaten lunch there and look forward to breakfast tomorrow. As always with Kimpton properties I am able to connect to the free highspeed internet by ethernet in seconds and am cruising the web and checking email back at the office with no problems. In my opinion you cant go wrong with any Kimpton hotel and the Seattle Hotel Monaco is certainly an excellent choice.
50-64,FEMALE,What an awesome place...... 4 of us age range from 14 to 50 went to this hotel with much concern after reading all the reviews. i spent about a month researching this area hotel and considered changing the trip after reading all the negative comments. i am a pretty seasoned traveler and realized that i was going to a 3rd world very poor country and took that all into consideration. we americans need to realize that not everyone lives the luxury lives that we have here in the USA. as is also the case in many other countries. i think our children also need to realize how other parts of the world live and appreciate all the things they take for granted as well as learn of other cultures. all this aside i want to say that i cannot believe all the negative i have read on this hotel in particular. when we arrived we were met by our travel agency guide noel from turinter company... he spent well over an hour telling us of things to do got us a welcome drink spoke to and arranged our check-in with the front desk personnel--he was beyond wonderful to us and made us feel so welcome . he also even placed calls to the USA for my daughter as we speak no spanish. we were then taken to our rooms and when my daughter friend went to their room they walked in on a couple already assigned to that room. fortunately they were getting ready to go to dinner so no harm done  we went to the desk and they immediately assigned them to another room down the hall.... OK it was an inconvenience but the people were super about it even talked to us every day after that and the desk profusely apologized. mistakes happen and yes we could have let it ruin our trip but we chose to overlook it go on and enjoy our trip. from that point on i could only walk around in total amazement at the well kept grounds the warmth we felt from all the staff the food and food displays the ammenities the beach pool areas etc. i am a very picky eater and can honestly say that we always found more than enough that was satisfactory to us. granted there were things on the buffet that were not our choice but we were not the only people there  we did not drink the tap water and had no problem with getting sick. we tried several times to make reservations to go to the specialty restaurants but it never happened so no big deal we will do that another time  i am not sure where these people writing bad reviews stayed but i cannot believe that it is the same place we were at. we have a place in cancun that we love usually vacation at but opted not to this year. we thought we would never find a place that we would love more but i think we have found that place in DR. please consider that everyones expectations are different and if you expecte a 5* americanized hotel all american food do yourself the DR a favor stay home  our maids were super... we left gifts and tips for them every day and always had a clean room towels extra water and they were so appreciative of what we left them nail polish bracelets cosmetics a couple dollars a small purse perfume chocolate candy. i left a couple things each day. .... we took school supplies for the schools but school was out so we passed the stuff on to the staff that had children as well as some of the people at the market next to the resort. the last morning we were there our maid came to our door with 2 coconuts drilled at the top with a straw so you could drink the coconut milk and flowers coming out of the top with a note written on the side thanking us for everything... it was very sweet  i hope you think about what you expect then go and enjoy yourself. we could not have asked for a better trip and experience and will definitely go back . the only thing i personally think this hotel could do better with is their choice of drinks....... i do not drink beer and after the first day the pina coladas and banana mamas got to be too much sweet for me. i would have been in heaven if i could have had a kaluha and cream but Oh well i didnt so no big deal. it would also be nice if there was bottled water available in other places besides just your room but again you cant have every thing and i would still go back in a heart beat 
50-64,FEMALE,Wonderful rooms and beds at the Donatello We have just completed a one week stay at the Donatello and loved it. The rooms are large and clean and the beds king size are superbly comfortable The colour scheme is royal blue and orange - it sounds weird but it really works. The bathrooms are good and there is good storage space in the bathroom and the room in general. Rooms have a microwave fridge coffee maker dishes and cutlery - tea coffee and sugar are supplied.The staff especially Jesus couldnt have been more helpful and friendly.The only problem we had was noise from the nightclub on Mason St but Jesus moved us to another room and then all was well. Dont stay in a room overlooking MasonThe restaurant is wonderful but not cheap.
35-49,FEMALE,Relaxing and gracious Our favortie spot
65-XX,FEMALE,great small hotel in waikiki The pool for the Equus
50-64,MALE,Classic Hotel Situated on the bank of the Arno River and within easy strolling distance of the city centre. The Ponte Vecchio Bridge is about half mile along the river bank from the hotel.Impressive lobby area with lots of marble and period furniture. Concierge desk very helpful on anything you want to see and gives good supply of maps for free. Reception staff are also very helpful.Bedrooms have high ceilings and match the of the hotel lobby. Beds are very comfortable and have super soft pillows. Bathrooms are all marble with frosted glass door separating the toilet from the rest of the bathroom. Air conditioning is efficient in cooling the room We went May 2005. Notice on window warning of opening of windows because of mosquitoes and midges. My wife was bitten.The Donatello bar has a full range of drinks and draught beers. Drinks are expensive but you get a full range of nuts and crisps plus small pizza squares in the evening. IL Cesptello restaurant is expensive but the food is very good. Wine list expensive but you can get wine of the region at 26 Euro per bottle and also wine by the glass.Lots of small restaurants nearby and serving sandwiches and pizza. Prices here are cheaper and you can sit outside on the pavement tables but watch the mozzies.
35-49,MALE,service through gritted teath On arrival we were delighted to be told that we had been upgraded to a club floor room. The room itself was small the bathroom tiny and the decor and lighting were poor. Internet access was available for a reasonable fee. After a long flight we were hoping for a lie in sadly this was not to be as despite having the do not disturb sign on the maid ricocheted through the door armed with a vacum cleaner at 8am claiming not to have seen the do not distueb sign. A call to receiption failed to get an apology for this so they were not off to a good start. That evening we though we would check out the club lounge only to find out that as upgrades we would be charged for everything in the lounge - I mean that is like getting an airline upgrade to business class and being served economy class food. Bearing in mind we had not asked for the upgrade and it probably only occured becuase the hotel had oversold its standard rooms that came as yet another dissapointment.The service was extreamly average for Singapore food was pretty much ok and in terms of location then the hotel is well placed for all the major shopping and entertainment areas.
25-34,FEMALE,All-Inclusive LAST Resort The beach was beautiful The swim up bar was a lot of fun. But the service was lacking and the rooms were sub-standard. I heard that the experiences in the Royal Service side was much better. A lot of the staff treat you in a condescending manner and its far worse if you dont speak spanish. It was a hot time of year June 27-July 1 so the only place that felt truly delicious was our ACd room some of the people in our party were having AC problems. Some of the restaurants were too warm to drink wine. And thats even if you had a reservation they actually honored. Most of the time we were arguing with someone about our reservations we set. We had made them before we got to the resort confirmed them the night before while at the resort and they still managed to keep us from enjoying dinner where we wanted and when. The buffets were only good if you got there as soon as the food was put out. The mixed drinks were nasty and the wine was pretty bad too. The bars were outdoors and not comfortable at all unless your idea of comfort is sitting in sweltering heat with no moving air around you. The bartenders seemed to see you better if you had cash in hand. There are not enough huts on the beach to seek refuge from the sun and believe me youll need it. After 2 hours my brain felt like it was frying. There were a lot of activities amenities restaurants and just things going on that we never knew about but heard about on the trolley-train circuit that a resort of that size should at the very least have a print out of whats going on where delivered to their patrons rooms daily. We did receive housekeeping but every day it was a different time sometimes not until after 5pm. The casino was just about the only place to go at night but if you dont gamble youre basically just drinking bad alcohol. All the food at this resort tastes the same - soggy and tasteless. But i heard the Japanese was good but by the time we were given reservations i got sick from the food and it was our last night so i did not get a chance to really enjoy. They tell you that there is food at night 9pm buffet style if the A la Carte restaurants do not have enough room but if there are private functions going on you are not permitted to enter leaving you no choice but to buy potato chips or cookies at the gift shop. There was a couple of times we were at the buffet places  which is the only place to go for breakfast and lunch and the place was packed with more employees eating than resort guests leaving the place cramped for space. There were 60 people in our party and not one of our groups were given the dinner reservation that was asked for. The resort staff lied to us numerous times about confirming dinner reservations and changing them without our knowledge to suit other guests at the resort. We found out later that Royal Service guests were given our reservations. The room smelled really bad too. Like moldy damp dirty. The paint on the walls literally comes off with your fingernail its so damp. The shower head didnt work. They left flowers in the room that were dead by the time we ever got the chance to see them they shut off the AC after they clean your room. No room service only the Royal Service side got that. The only good thing about our room was that it was close to the beach pool. The ATM machine only dispenses pesos at the resort although dollars are accepted everywhere. Everything at the gift shop is at least double what you would normally pay in the states. The funny thing about Pina Coladas and other Fruity mixed drinks they advertise not only do they make them different each time different colors textures but we later caught on that if you do not specify whether you want alcohol or not they will give it to you without alcohol. And if you are prone to being bitten by mosquitoes you will be bitten. I came home with 30 bites. I planned on writing far more about Melia Caribe Tropical but realized that we got what we paid for and it wasnt about food service or anything like that for us - it was about bonding with the people we were traveling with. As the saying goes - its not where you are but who youre with that counts. But I do not plan on returning to the Dominican Republic much less this all-inclusive last resort.
25-34,MALE,Excellence in Miami Didnt think it was possible I usually go to Miami a few times a year. For some reason I have never stayed at the FS I have to ask myself why?Having stayed at the Conrad next door and several hotels in South Beach I can say this is the best i have experienced in Miami. Although i have not stayed at the Mandarin OrientalThe hotel is lovely. The lobby and particularly the Botero sculptures are magnificant.We stayed in a premier bay view room - Great views of the bay well executed color scheme and the usual tasteful FS bathroom. If you have a choice get a bay view room. Looking back at the city is not great. Much of Miami downtown is a construction site.Service was excellent. Everyone remembered and pronounced my rather long last name. The restaurant Aqua is pretty good. My mother is a vegetarian- they had no trouble accommodating her requests. The wine list is good and reasonable for a FS.The pool area is well designed and landscaped. The staff is attentive.There is one downside. If you stay here have a car. There is nothing to do downtown that you can walk to. Shop and eat in south beach walk around on lincoln road but stay here.
35-49,FEMALE,Fabulous Location Another exceptional hotel The location was fabulous Surrounded by good restaurants and shopping. Walking distance to almost every major tourist attraction. Our room was very large spotless and had a nice balcony.
25-34,MALE,Prime Location My girlfriend found the Chancellor through TripAdvisor and after looking at a few other places she and I decided this was the place for us. After our stay in late March early April we are not disappointed. The hotel was clean the staff was nice willing to help with whatever we asked - be it directions advice etc and the location is excellent for access to the cable cars buses Chinatown the financial district and of course Union Square. There is a coffee shop next door and a Walgreens just up the block. We bought our MUNI pass at the desk the 3 day pass was the best for us. The rooms are small but not tight. You have a large closet a comfortable bed and you can even pick from a number of pillow types down fiber poly buckwheat bead etc at no extra cost Ive never seen this before - and it was a nice feature. We couldnt get the internet to work for us but that wasnt really an issue since 1 we didnt need to get online much and 2 they have a computer/printer in the lobby for your use. The staff worked to get our computer up and running on their wireless and would have done more if we had wanted. All in all the cost of the hotel is not the cheapest in town but the value is very high due to location amenities and the overall price-point of everything in SF. If we dont stay here again it would only be because we wanted to try another part of town - we have no complaints about the hotel.
50-64,FEMALE,Location and price were the drawing points for our stay... Location and price were the drawing points for our stay at the York. The hotel matched the Orbitz price that we found online. The hotel was very clean. The breakfast was adequate muffins toast bananas apples juice coffee and tea. The walls are thin as stated in an ealier review That could be a problem. One night we slept with the radio tuned in to classical music station. We asked for extra pillows right away as they were quite thin.My daughter in her 30s and I stayed there for a girls trip to San Francisco for five nights. We were only at the hotel to sleep and did not expect it to be a five star hotel. So it worked out just fine. It was an easy walk to Powell Street which is on the main cable line. On arriving from the airport we took the BART in to Union Square rather than a cab the Powell station for $5.15 a piece. That was a bargain Now we did have to walk and drag our luggage quite a few blocks up Powell Street and across Sutter Street. But we knew we would have other things to spend our money on. The hotel is only blocks from Dotties True Blue Cafe an easy walk for a wonderful treat for breakfast. Our wait was only 30 minutes. Not bad A Walgreens is at the corner of Powell and Sutter. That was a convenient locationOne night we enjoyed a Cosmo in the adjoining Plush Room before retiring to our room.All in all staying at the York Hotel added to our fun vacation to San Francisco
35-49,MALE,Not loving the Grand Marina Our second time in Barcelona previously we had stayed at the H10 Montcada and quite enjoyed it. This time around we got what we thought was a great deal and chose to stay on the water. Were still here as I write this but are thinking of cutting our reservation short perhaps to take a train to explore more of Spain.I can see why those about to board a ship would choose this hotel as its literally on the pier where you would board your ship.The hotel design is cool and contemporary but this is where the love stops.Its the little things that are driving me nuts. Our room in on the 7th floor of 8 and weve got a great view with a little tiny balcony that looks out to the city. I really liked this until night came and the winds changed. The sliding doors to the balcony dont seem to close correctly so you get this sporadic wind shrieking as you try to sleep. Perhaps this is something that only happens in the winter?The temperature controls in the room seem useless. No matter how I set it it seems to jump back to 20 Celsius.The only clock in the room is actually part of the flat panel TV. Once you shut off the TV the clock can no longer be seen.We were welcomed on arrival with a small plate of chocolates and some bottled water. Lovely. But for a 5-star luxury hotel it would be nice if they would drop off a bottle of water every day. The only alternative is the min-bars teeny-tiny 330ML bottles - that cost 4 Euros each.We had wine glasses in the room on the first day as well but those seem to have disappeared.Im dying to find out what happens with the bathroom amenities today. We dont seem to be getting anything replenished and are down to one tiny bar of soap that we keep passing between the shower and the sink. It literally feels like the hotel is saying - youve used up your allotment time to check out.On the bright side we did partake in the morning buffet on our second day not included in our package. It was really lovely. But unless youre boarding a cruise ship or maybe if its the middle of summer; Id choose differently.
25-34,FEMALE,Loved it The rooms and the hotel has character Firstly the hotel advertises the rooms are small so no surprises there. On arrival the staff are friendly and will answer any questions you have. Although small the rooms pack a fair amount of punch - they have everything you need They offer free water and coke a cola as well as tea and coffee. The beds are extreemly comfortable and the furnishings are wonderful. I rate this hotel and its staff highly - I will be returning
65-XX,MALE,Delightful Hotel We had a very pleasant 2-night stay at the Kras. Situated on Dam Square opposite the Palace it was a prime location. Bus and tram stops are right across the street so it was easy to get anywhere. The hotel itself was inviting from the lobby onward. We arrived early in the day yet a room was ready for us. It was clean and well appointed. The business center was handy and the front desk staff was pleasant and eager to serve. We would stay again if the occasion arose.
35-49,MALE,Excellent Hotel Room is large and includes free wifi and minibar
50-64,FEMALE,Fabulous Hotel The Intercontinental Hotel in Boston is a brand new hotel that is exactly what you would expect in an Intercontinental Hotel. It was fabulous It is conveniently located near the waterfront and Fanueil Hall as well as other Boston landmarks. The lobby is impressive and the RumBa Bar is a happening spot in the evening We had both breakfast and lunch at their restaurant Miel and it was very good both times. We also had room service which was prompt and the staff was friendly and helpful.The fitness center was a delight with new equipment and you could do both cardio and strength training with everything you need for a decent on the road workout.The bed was comfortable and the pillows were so-so. We had a typical city view with a partial view of the harbor. The bathroom was exceptional with an awesome shower and separate tub. Overall we were very happy at the Intercontinental and would highly recommend it to travelers.
50-64,MALE,fantastic hotel I went to Barcelona last year with a group of mates and we stay at the vincci arena for 4 night. This is great hotel very clean and rooms beautifully decorated. The staff were very friendly and i couldnt ask for more. Location very good and metro only round the corner. For value and quality this hotel is very good.
25-34,MALE,Great but expensive stay We stayed at hotel Bijou for three nights when we first arrived in het USA. To our surprise the hotel was although very centrally located easy to find by car from the airport. There is no parking place at the hotel it self so you can choose from valet parking to other local parking places. Either way it costs al lot of money expect 24-29 USD per 24 hours. That was the only downside.The hotel is very centrally located and a perfect start to explore San Francisco. The rooms are small but clean. The staff is very friendly and helpfull. We left very early  06:00 amat the last day and we could make our own breakfast to take with us. Breakfast is good but simple.If youre looking for an average but very central accomodation dont hesitate.
25-34,MALE,Love this place We found an offer to stay here for and now I love this place Ok the rooms are a little small and the bathrooms dont have a lock but these are minor grumbles. The decor is cool staff really friendly rooms are comfortable and quiet and the bar serves good bourbon. What more can you want? Oh and the locations is fantastic- 5 minutes from the tube and all you need to do to reach the bars of Old Street is fall out of bed. Also you get Pret breakfast delivered to your room in the morning which is a nice touch. Cant wait to stay here again.
25-34,FEMALE,Pretty Good If youre in Amsterdam for a couple of days and want a GREAT location and dont mind a small room this is the place. It is two blocks from the Rjiksmuseum and Van Gogh museum. I walked all over the city from the hotel. The staff are very helpful particularly Martina.The breakfast is so so. Also the hotel is located near the PC shops. If you go there go to the PC Cafe. Im still thinking about the sandwich I had.The rooms are SMALL But the bed was comfortable and it kept me out of my room since I was there to see the city anyway not lay in the lap of luxury. The free internet is also a nice feature.
25-34,MALE,By Singapore Standards... Pretty Bad I know Singapore hotels like the back of my hand. I have stayed dozens of times in Singapore in just about every 5 star hotel on the island and even Sentosa. I am amazed that Sheraton Towers is so high on the popularity index. I have stayed here about 6 times over the past few years and have always been disappointed. The only reason I stay here is that the sales staff are very slow at putting up their rates when big conferences are on which means the Sheraton can be an absolute bargain when other nearby hotels triple their prices.There are two main problems:1. The rooms are small and antiquated by Singapore standards. They are not even in the same ball park as what is on offer at just about every other 5* hotel e.g. Conrad Grand Hyatt etc.. The bathroom is tiny and again very old. In all honesty I have seen better rooms at a 3* Holiday Inn.2. The service is consistently poor from the front desk to the concierge to the room service staff. They just do not care and it shows. The ony friendly person is the guy who opens the door and he was only friendly to return-guests who he recognised. He completely ignored me when I said hello to him.The only thing the Sheraton does as good as the competition is its breakfast buffet which is out of this world.Overall I am perplexed as to why people stay at this hotel. Particularly considering it is as expensive if not more expensive than much better nearby hotels. Even Starwood know it is not up to scratch - this hotel was booted out of Starwoods Luxury Collection a few years agoIf you want this area and a name-brand hotel - stay at the Grand Hyatt just down the road. Ive stayed there many times its much better than the Sheraton.
50-64,FEMALE,Fantastic stay in every way My daughter and I stayed here for 2 nights; it is fantastic. It is family operated and they treat their guests like family. The room was clean and recently renovated but most importantly it was quiet although it is situated only minutes from the Duomo and David. Breakfast is fine nothing fancy. Wonderful location for sightseeing and the bus/train terminal. They gave discount for payment in cash. I would definitely stay here again.
